t,x,y,z,dxdt,dydt,dzdt,speed
8.255,-7.105253939,-9.368290962,21.57545521,-22.63037022,-36.27973122,9.029539036,43.70223254
8.256,-7.127952403,-9.40459271,21.58470794,-22.76640307,-36.32330373,9.476268027,43.90320214
8.257,-7.150786434,-9.440936637,21.59440842,-22.90150203,-36.36408071,9.925032502,44.10591152
8.258,-7.17375509,-9.477319922,21.60455868,-23.03564833,-36.40200979,10.37581555,44.31032565
8.259,-7.196857407,-9.51373969,21.61516072,-23.16882283,-36.43703816,10.82859936,44.51640895
8.26,-7.220092405,-9.550193014,21.62621654,-23.30100609,-36.46911254,11.28336527,44.72412532
8.261,-7.243459082,-9.586676913,21.63772811,-23.4321783,-36.49817922,11.74009367,44.93343817
8.262,-7.266956418,-9.623188352,21.64969737,-23.56231934,-36.52418407,12.19876402,45.14431036
8.263,-7.29058337,-9.659724242,21.66212627,-23.69140872,-36.54707254,12.65935485,45.35670429
8.264,-7.314338878,-9.69628144,21.67501672,-23.81942562,-36.56678969,13.12184372,45.57058182
8.265,-7.338221857,-9.732856746,21.68837059,-23.94634889,-36.58328016,13.5862072,45.78590437
8.266,-7.362231204,-9.769446906,21.70218975,-24.07215702,-36.59648825,14.05242086,46.00263283
8.267,-7.386365792,-9.806048609,21.71647604,-24.19682817,-36.60635784,14.52045924,46.22072765
8.268,-7.410624474,-9.84265849,21.73123127,-24.32034016,-36.61283251,14.99029585,46.44014879
8.269,-7.435006078,-9.879273124,21.74645722,-24.44267045,-36.61585546,15.46190314,46.66085575
8.27,-7.459509413,-9.915889031,21.76215565,-24.56379618,-36.61536959,15.93525249,46.88280757
8.271,-7.484133262,-9.952502674,21.77832829,-24.68369413,-36.61131748,16.41031418,47.10596284
8.272,-7.508876384,-9.989110458,21.79497684,-24.80234074,-36.6036414,16.88705737,47.3302797
8.273,-7.533737518,-10.02570873,21.81210296,-24.91971212,-36.59228336,17.36545011,47.55571586
8.274,-7.558715375,-10.06229378,21.82970828,-25.03578403,-36.57718511,17.84545928,47.78222859
8.275,-7.583808645,-10.09886183,21.84779441,-25.15053189,-36.55828814,18.3270506,48.00977473
